id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,sll,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
71,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,9,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.87,3.8,多雪,立平葺,6点,,4642,835560,直販,CBPD09X6
72,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,9,デルタ電子,H4J_220,1,H6J_240,,1,,1,,,3.87,3.8,多雪,立平葺,8点,,4741,853380,直販,CBPD09X8
73,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4.3,4,多雪,立平葺,6点,,5148,926640,直販,CBPD10X6
74,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4.3,4,多雪,立平葺,8点,,5269,948420,直販,CBPD10X8
75,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,11,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4.73,4,多雪,立平葺,6点,,5665,1019700,直販,CBPD11X6
76,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,11,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,4.73,4,多雪,立平葺,8点,,5786,1041480,直販,CBPD11X8
77,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,12,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,5.16,4,多雪,立平葺,6点,,6182,1112760,直販,CBPD12X6
78,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,12,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,5.16,4,多雪,立平葺,8点,,6314,1136520,直販,CBPD12X8
79,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,13,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,5.59,4,多雪,立平葺,6点,,6699,1205820,直販,CBPD13X6
80,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,13,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,5.59,4,多雪,立平葺,8点,,6842,1231560,直販,CBPD13X8
81,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,14,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,6.02,4,多雪,立平葺,6点,,6259,1126620,直販,CBPD14X6
82,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,14,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,6.02,4,多雪,立平葺,8点,,6413,1154340,直販,CBPD14X8
83,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,15,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,6.45,4,多雪,立平葺,6点,,6699,1205820,直販,CBPD15X6
84,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,15,デルタ電子,H4J_220,1,H6J_240,,2,,1,,,6.45,4,多雪,立平葺,8点,,6875,1237500,直販,CBPD15X8
85,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,16,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,6.88,5.9,多雪,立平葺,6点,,7150,1287000,直販,CBPD16X6
86,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,16,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,6.88,5.9,多雪,立平葺,8点,,7326,1318680,直販,CBPD16X8
87,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,17,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,7.31,5.9,多雪,立平葺,6点,,7601,1368180,直販,CBPD17X6
88,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,17,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,7.31,5.9,多雪,立平葺,8点,,7788,1401840,直販,CBPD17X8
89,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,18,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,7.74,5.9,多雪,立平葺,6点,,8041,1447380,直販,CBPD18X6
90,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,18,デルタ電子,H4J_220,,H6J_240,1,2,,1,,,7.74,5.9,多雪,立平葺,8点,,8250,1485000,直販,CBPD18X8
91,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,19,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.17,5.9,多雪,立平葺,6点,,7909,1423620,直販,CBPD19X6
92,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,19,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.17,5.9,多雪,立平葺,8点,,8129,1463220,直販,CBPD19X8
93,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,20,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.6,5.9,多雪,立平葺,6点,,8327,1498860,直販,CBPD20X6
94,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,20,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,8.6,5.9,多雪,立平葺,8点,,8558,1540440,直販,CBPD20X8
95,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,21,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.03,5.9,多雪,立平葺,6点,,8745,1574100,直販,CBPD21X6
96,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,21,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.03,5.9,多雪,立平葺,8点,,8987,1617660,直販,CBPD21X8
97,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.46,5.9,多雪,立平葺,6点,,9163,1649340,直販,CBPD22X6
98,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,22,デルタ電子,H4J_220,,H6J_240,1,3,,1,,,9.46,5.9,多雪,立平葺,8点,,9416,1694880,直販,CBPD22X8
99,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,9.89,8,多雪,立平葺,6点,,9581,1724580,直販,CBPD23X6
100,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,23,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,9.89,8,多雪,立平葺,8点,,9845,1772100,直販,CBPD23X8
101,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.32,8,多雪,立平葺,6点,,9999,1799820,直販,CBPD24X6
102,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,24,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.32,8,多雪,立平葺,8点,,10263,1847340,直販,CBPD24X8
103,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.75,8,多雪,立平葺,6点,,10406,1873080,直販,CBPD25X6
104,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,25,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,10.75,8,多雪,立平葺,8点,,10692,1924560,直販,CBPD25X8
105,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.18,8,多雪,立平葺,6点,,10824,1948320,直販,CBPD26X6
106,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,26,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.18,8,多雪,立平葺,8点,,11121,2001780,直販,CBPD26X8
107,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.61,8,多雪,立平葺,6点,,11242,2023560,直販,CBPD27X6
108,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,27,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,11.61,8,多雪,立平葺,8点,,11550,2079000,直販,CBPD27X8
109,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.04,8,多雪,立平葺,6点,,10923,1966140,直販,CBPD28X6
110,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,28,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.04,8,多雪,立平葺,8点,,11231,2021580,直販,CBPD28X8
111,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.47,8,多雪,立平葺,6点,,11308,2035440,直販,CBPD29X6
112,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,29,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.47,8,多雪,立平葺,8点,,11638,2094840,直販,CBPD29X8
113,TEPCOフィンテック,15年,430,SISOLAR,SS430M8GFH-18/VNH,30,デルタ電子,H4J_220,2,H6J_240,,4,,1,,,12.9,8,多雪,立平葺,6点,,11693,2104740,直販,CBPD30X6
