id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
36,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,25,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10,8,通常,立平葺,8点,19503,,2340360,直販,C8MA25B8
37,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,26,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.4,8,通常,立平葺,6点,19921,,2390520,直販,C8MA26B6
38,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,26,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.4,8,通常,立平葺,8点,20284,,2434080,直販,C8MA26B8
39,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,27,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.8,8,通常,立平葺,6点,20691,,2482920,直販,C8MA27B6
40,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,27,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.8,8,通常,立平葺,8点,21065,,2527800,直販,C8MA27B8
41,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,28,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.2,8,通常,立平葺,6点,21461,,2575320,直販,C8MA28B6
42,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,28,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.2,8,通常,立平葺,8点,21846,,2621520,直販,C8MA28B8
43,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,29,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.6,8,通常,立平葺,6点,22220,,2666400,直販,C8MA29B6
44,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,29,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.6,8,通常,立平葺,8点,22627,,2715240,直販,C8MA29B8
45,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,30,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,12,8,通常,立平葺,6点,22308,,2676960,直販,C8MA30B6
